scenario,year
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_6767.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_7566.yaml,39
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_8274.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_8721.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_13140.yaml,39
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_13667.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_17643.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6405.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12201.yaml,42
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_15139.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_6102.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_17526.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_19687.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_28854.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_35543.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_39400.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_49082.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_10876.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_11103.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_11521.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_33980.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_43342.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_49537.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_17241.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_30259.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_34259.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_35047.yaml,30
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_35631.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_35795.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_35889.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_37149.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_39662.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_44183.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_681482/scenario_3179.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_681482/scenario_4496.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_681482/scenario_12501.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_681482/scenario_15147.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_681482/scenario_22991.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_939.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_5859.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_11762.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_13020.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_20605.yaml,40
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_27137.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_32743.yaml,34
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_32802.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_34233.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_34862.yaml,40
docs/20200425 abc_example/slice3/scenarios/smoothoperator_781410/scenario_42975.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_792801/scenario_9948.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_792801/scenario_23409.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_792801/scenario_24826.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_792801/scenario_35374.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_792801/scenario_38820.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_792801/scenario_41890.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_792801/scenario_48250.yaml,44
