scenario,year
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_2030.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_2422.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_3258.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_3263.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_3480.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_3484.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_6104.yaml,41
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_6200.yaml,42
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_7286.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_7993.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_265.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_3642.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_3893.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_5057.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_8093.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_8664.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_39.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_520.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_2416.yaml,30
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_2449.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_5427.yaml,30
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_5728.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_6944.yaml,33
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_7063.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_8956.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_10793.yaml,35
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_12943.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_13332.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_13660.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_14071.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_14179.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_14198.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_14921.yaml,41
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_18667.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_18833.yaml,40
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_1423.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_2807.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_4688.yaml,33
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_5648.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6776.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6797.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_8069.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_8227.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_8766.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_9697.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_10031.yaml,40
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12349.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14206.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14530.yaml,39
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14607.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14693.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14936.yaml,42
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_15324.yaml,42
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_16248.yaml,39
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_16830.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_17814.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_18167.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_18660.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_21.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_516.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_1574.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_2426.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3476.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3665.yaml,34
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_4217.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_5162.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_6212.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_10116.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_10226.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_10774.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_11949.yaml,40
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_12367.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_13287.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_13594.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_15661.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18472.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_19485.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_19742.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_19775.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_21221.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_22250.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_22509.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_23205.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_24994.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_26105.yaml,34
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_26632.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_27030.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_27307.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_27561.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_28264.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_30232.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_30276.yaml,30
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_30385.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_30920.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_31143.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_31279.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_31927.yaml,36
