scenario,year
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_390.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_1097.yaml,41
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_1116.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_2075.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_4673.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_5423.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_5575.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_1240.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_1514.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_2079.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_2921.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_4116.yaml,35
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_6917.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_7566.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_383.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_1234.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_1395.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_1425.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_2710.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_3144.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_4048.yaml,30
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_4933.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_5656.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_8330.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_9138.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_9718.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_11749.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_11763.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_13700.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_13967.yaml,30
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_16293.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_17503.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_3150.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_5679.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6037.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6074.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6384.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6708.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_11270.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_11316.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12201.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12461.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14640.yaml,30
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14772.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_17491.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_1187.yaml,30
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_1302.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_2582.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_2921.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_2986.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3110.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3139.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3386.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_4681.yaml,40
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_7187.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_9968.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_10320.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_10427.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_10723.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_11752.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_13775.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_14395.yaml,30
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_15280.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_15682.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_15742.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_17632.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18013.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18177.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18384.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18484.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_23240.yaml,36
