scenario,year
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_396.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_406.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_1699.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_1907.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_2005.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_2201.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_2332.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_2337.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_2772.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_3080.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_3217.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_3679.yaml,35
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_3830.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_4445.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_4689.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_5156.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_5692.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_5738.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_5977.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_6806.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_7773.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_7845.yaml,40
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_8005.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_306180/scenario_8027.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_1712.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_2073.yaml,33
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_2774.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_2892.yaml,42
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_3439.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_4218.yaml,41
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_4510.yaml,40
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_4516.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_4881.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_5443.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_5641.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_6640.yaml,39
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_7223.yaml,42
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_7343.yaml,35
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_8065.yaml,35
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_8208.yaml,41
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_8212.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_493364/scenario_8369.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_633.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_708.yaml,40
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_1452.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_2157.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_2676.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_3922.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_5053.yaml,30
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_5820.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_6137.yaml,38
